table_name,column_name,database_type,base_type,comment,,
ANCVST,nextdate,timestamp,type/DateTime,วันที่นัดหมาย,,
ANCVST,nexttime,numeric,type/Decimal,เวลาที่นัดหมาย,,
ANCVST,dct1,numeric,type/Decimal,แพทย์1,,
ANCVST,dct2,numeric,type/Decimal,แพทย์2,,
ANCVST,albumin,numeric,type/Decimal,Urine : Albumin,,
ANCVST,sugar,numeric,type/Decimal,Urine : Sugar,,
ANCVST,negsymp,numeric,type/Decimal,"อาการผิดปกติ 1=ไม่มี, 2=มี",,
ANCVST,negsympdt,varchar,type/Text,ระบุ อาการผิดปกติ,,
ANCVST,babyflex,numeric,type/Decimal,"เด็กดิ้น 1=ยังไม่ดิ้น, 2=ปกติ, 3=น้อยกว่าปกติ",,
ANCVST,suggess,numeric,type/Decimal,"Suggess 1=ไม่มี, 2=มี",,
ANCVST,suggessdt,varchar,type/Text,Suggess detail,,
ANCVST,bmi,numeric,type/Decimal,ค่า BMI,,
ANCVST,investdt,varchar,type/Text,ผล Investigations,,
ANCVST,investplan,varchar,type/Text,แผน Investigations,,
ANCVST,usggawk,numeric,type/Decimal,by USG GA weeks,,
ANCVST,usggaday,numeric,type/Decimal,by USG GA days,,
ANCVST,embydate,timestamp,type/DateTime,by Embryo date,,
ANCVST,embyage,numeric,type/Decimal,by Embryo age,,
ANCVST,physclexm,numeric,type/Decimal,"ตรวจร่างกายอื่นๆ:1=ปกติ,2=ผิดปกติ",,
ANCVST,physcldt,varchar,type/Text,ตรวจร่างกายอื่นๆระบุ,,
ANCVST,fndlna,numeric,type/Decimal,Fundal height;1=NA,,
ANCVST,fndlsize,numeric,type/Decimal,Fundal height Size,,
ANCVST,fndltape,numeric,type/Decimal,Fundal height Tape,,
ANCVST,ftlhna,numeric,type/Decimal,Fetal heart sound;1=NA,,
ANCVST,ftlhbpm,numeric,type/Decimal,Fetal heart sound BPM,,
ANCVST,note,varchar,type/Text,Note อื่นๆ ของแพทย์,,
ANCVST,ftlhbpm2,numeric,type/Decimal,,,
ANCVST,ftlhbpm3,numeric,type/Decimal,,,
ANCVST,weight,numeric,type/Decimal,,,
ANCVST,lbpn,numeric,type/Decimal,,,
ANCVST,hbpn,numeric,type/Decimal,,,
ANCVST,notifyhiv,numeric,type/Decimal,,,
ANCVST,notifyst,numeric,type/Decimal,,,
ARPT,arno,numeric,type/Decimal,เลขที่แจ้งหนี้,,
ARPT,hn,varchar,type/Text,เลขที่ผู้ป่วยนอก,,
ARPT,an,varchar,type/Text,เลขที่ผู้ป่วยใน,,
ARPT,pttype,numeric,type/Decimal,ประเภทสิทธิการรักษา,,
ARPT,pttypest,numeric,type/Decimal,สถานะการอนุมัติสิทธิ,,
ARPT,pttypeext,varchar,type/Text,รายละเอียดสิทธิการรักษา,,
ARPT,prvno,numeric,type/Decimal,ลำดับการอนุมัติสิทธิการรักษา,,
ARPT,projtype,numeric,type/Decimal,โครงการ,,
ARPT,argrp,numeric,type/Decimal,รหัสกลุ่มผู้ป่วย,,
ARPT,arcode,numeric,type/Decimal,เชื่อมโยงรหัสบัญชี,,
ARPT,invno,numeric,type/Decimal,เลขที่ใบเรียกเก็บเงิน,,
ARPT,dbtno,numeric,type/Decimal,เลขที่การลงลูกหนี้ค่ารักษาพยาบาล,,
ARPT,arstf,numeric,type/Decimal,รหัสผู้ปิดบัญชี,,
ARPT,ardate,timestamp,type/DateTime,วันที่ปิดบัญชี,,
ARPT,artime,numeric,type/Decimal,เวลาปิดบัญชี,,
ARPT,vstdate,timestamp,type/DateTime,วันที่มารับบริการ,,
ARPT,vsttime,numeric,type/Decimal,เวลาที่มารับบริการ,,
ARPT,dchdate,timestamp,type/DateTime,วันที่ผู้ป่วยกลับบ้าน,,
ARPT,dchtime,numeric,type/Decimal,เวลาที่ผู้ป่วยกลับบ้าน,,
ARPT,startdate,timestamp,type/DateTime,วันที่เริ่มต้นเรียกเก็บเงิน,,
ARPT,enddate,timestamp,type/DateTime,วันที่สิ้นสุดเรียกเก็บเงิน,,
ARPT,ptday,numeric,type/Decimal,จำนวนวันนอน,,
ARPT,chkstf,numeric,type/Decimal,รหัสผู้ตรวจสอบ,,
ARPT,chkdate,timestamp,type/DateTime,วันที่ตรวจสอบข้อมูล,,
ARPT,chktime,numeric,type/Decimal,เวลาที่ตรวจสอบข้อมูล,,
ARPT,trnstf,numeric,type/Decimal,ผู้โอนข้อมูล,,
ARPT,trndate,timestamp,type/DateTime,วันที่โอนข้อมูล,,
ARPT,trntime,numeric,type/Decimal,เวลาที่โอนข้อมูล,,
ARPT,hc,numeric,type/Decimal,ค่าใช้จ่ายสูง (1=ค่าใช้จ่ายสูง),,
ARPT,bkno,varchar,type/Text,เลขที่อ้างอ้างอิงการส่งเบิก,,
ARPT,cpno,numeric,type/Decimal,สถานะการแก้ไขข้อมูลการส่งเบิก,,
ARPT,opno,numeric,type/Decimal,จำนวนเงินแก้ไขข้อมูลการส่งเบิก,,
ARPT,claimno,varchar,type/Text,เลขที่ขอเบิก (ไม่ได้ใช้),,
ARPT,claimlct,numeric,type/Decimal,รหัสหน่วยงานเรียกเก็บเงิน,,
ARPT,claimcode,varchar,type/Text,เลขที่CLAIMCODE (ไม่ได้ใช้),,
ARPT,mainhpt,numeric,type/Decimal,รหัสสถานพยาบาลหลัก (ไม่ได้ใช้),,
ARPT,mainophpt,numeric,type/Decimal,รหัสสถานพยาบาลส่งตัว (ไม่ได้ใช้),,
ARPT,supphpt,numeric,type/Decimal,รหัสสถานพยาบาลรอง (ไม่ได้ใช้),,
ARPT,changwat,numeric,type/Decimal,จังหวัด (ไม่ได้ใช้),,
ARPT,acer,numeric,type/Decimal,สถานะอุบัติเหตุ (ไม่ได้ใช้),,
ARPT,refno,varchar,type/Text,รหัสชุดการเบิกผู้ป่วยห้องไตเทียม,,
ARPT,refer,numeric,type/Decimal,สถานะการREFER (ไม่ได้ใช้),,
ARPT,referhpt,numeric,type/Decimal,โรงพยาบาลที่REFER (ไม่ได้ใช้),,
ARPT,refissdate,timestamp,type/DateTime,วันที่เริ่มใช้สิทธิ์ (ไม่ได้ใช้),,
ARPT,refexpdate,timestamp,type/DateTime,วันที่หมดอายุสิทธิ์ (ไม่ได้ใช้),,
ARPT,sheetno,varchar,type/Text,เลขที่เอกสารเงินงบประมาณ,,
ARPT,sheetdate,timestamp,type/DateTime,วันที่เลขที่เอกสาร (ไม่ได้ใช้),,
ARPT,arpterr,varchar,type/Text,รหัสแสดงข้อผิดผลาด,,
ARPT,prbtype,numeric,type/Decimal,รหัสการส่งข้อมูล CSCD ซ้ำ,,
ARPT,arst,numeric,type/Decimal,สถานะการเรียกเก็บ,,
ARPT,dchst,numeric,type/Decimal,ประเภทการจำหน่าย,,
ARPT,dchtype,numeric,type/Decimal,สถานะการจำหน่าย,,
ARPT,cancelres,numeric,type/Decimal,รหัสการยกเลิกข้อมูล,,
ARPT,arrearno,numeric,type/Decimal,เลขที่ค้างชำระ,,
ARPT,arrearst,numeric,type/Decimal,สถานะค้างชำระ,,
ARPT,sarno,numeric,type/Decimal,เลขที่ปิดแจ้งหนี้เดิม,,
ARPT,arbdgyear,numeric,type/Decimal,ปีงบประมาณที่ตั้งลูกหนี้,,
ARPT,armonth,numeric,type/Decimal,เดือนที่ตั้งลูกหนี้,,
ARPT,spcflag,numeric,type/Decimal,สถานะคลีนิคพิเศษ,,
ARPT,accno,numeric,type/Decimal,เลขที่รับไปลงบัญชี,,
ARPT,accstf,numeric,type/Decimal,เจ้าหน้าที่ี่รับไปลงบัญชี,,
ARPT,accdate,timestamp,type/DateTime,วันที่ที่ี่รับไปลงบัญชี,,
ARPT,nopaid,numeric,type/Decimal,สถานะไม่ได้เรียกเก็บเป็นเงิน,,
ARPT,obsno,numeric,type/Decimal,Observation Number,,
ARPT,devno,numeric,type/Decimal,เลขที่อ้างอิงลดหนี้/เพิ่มหนี้,,
ARPT,devst,numeric,type/Decimal,สถานะ 1 เพิ่มหนี้ 2 ลดหนี้,,
ARPT,cscdaprvno,varchar,type/Text,เลขที่อนุมัติ,,
ARPT,drgamt,numeric,type/Decimal,ค่ารักษาตาม DRG,,
ARPT,accdrgno,numeric,type/Decimal,เลขที่รับไปลงบัญชีี่ ส่วนขาด DRG ,,
ARPT,accdrgstf,numeric,type/Decimal,เจ้าหน้าที่รับไปลงบัญชี ี่ส่วนขาด DRG ,,
ARPT,accdrgdate,timestamp,type/DateTime,วันที่ที่ี่รับไปลงบัญชี ส่วนขาด DRG ,,
ARPT,covst,numeric,type/Decimal,สถานะผู้ป่วย COVID,,
ARPT,leaveday,numeric,type/Decimal,วันลากลับบ้าน,,
ARPT,drgclaim,numeric,type/Decimal,จำนวนเงิน Claimcate D,,
ARPT,xdrgclaim,numeric,type/Decimal,จำนวนเงิน Claimcate T,,
ARPT,discount,numeric,type/Decimal,ส่วนลด,,
ARPT,cancelst,numeric,type/Decimal,สถานะการลบข้อมูล 0:ใช้งาน; 1:ยกเลิก,,
ARPT,invsumno,numeric,type/Decimal,เลขที่ปิดบัญชีลูกหนี้,,
ARPT,invsumstf,numeric,type/Decimal,เจ้าหน้าที่รับไปลงบัญชีลูกหนี้,,
ARPT,invsumdate,timestamp,type/DateTime,วันที่ลงบัญชีลูกหนี้,,
ARPTINC,arno,numeric,type/Decimal,เลขที่ผู้ป่วยนอก,,
ARPTINC,actlct,numeric,type/Decimal,รหัสศุนย์ทุน,,
ARPTINC,incgrp,numeric,type/Decimal,กลุ่มค่ารักษา,,
ARPTINC,ordercode,numeric,type/Decimal,รหัสรายการค่ารักษา,,
ARPTINC,income,varchar,type/Text,รหัสค่ารักษา,,
ARPTINC,incamt,numeric,type/Decimal,จำนวนเงินทั้งหมด,,
ARPTINC,rfndamt,numeric,type/Decimal,จำนวนเงินเบิกได้,,
ARPTINC,unrfndamt,numeric,type/Decimal,จำนวนเงินเบิกไม่ได้,,
ARPTINC,waiveamt,numeric,type/Decimal,จำนวนเงินยกเว้น,,
ARPTINC,dscamt,numeric,type/Decimal,จำนวนเงินลดหย่อน,,
ARPTINC,rcptamt,numeric,type/Decimal,จำนวนเงินรับจริง,,
ARPTINC,invamt,numeric,type/Decimal,จำนวนเงินเรียกเก็บ,,
ARPTINC,stamt,numeric,type/Decimal,จำนวนเงินส่วนลดเงินเชื่อ,,
ARPTINC,crdamt,numeric,type/Decimal,จำนวนเงินสวัสดิการ,,
ARPTINC,cutactamt,numeric,type/Decimal,จำนวนเงินรับชำระ,,
ARPTINC,salerate,numeric,type/Decimal,ราคาขาย,,
ARPTINC,qty,numeric,type/Decimal,จำนวน,,
ARPTINC,dscp,varchar,type/Text,หมายเหตุ,,
ARPTINC,prfordercode,numeric,type/Decimal,รหัสอ้างอิงรายการค่ารักษา,,
ARPTINC,arincst,numeric,type/Decimal,สถานะการแสดงข้อมูล,,
ARPTINC,drgamt,numeric,type/Decimal,ค่ารักษาตาม DRG,,
BDVST,hn,varchar,type/Text,รหัสประจำตัวผู้ป่วย,,
BDVST,bdvstdate,timestamp,type/DateTime,วันที่สั่งเตรียมเลือด/ขอจองเลือด,,
BDVST,bdvsttime,numeric,type/Decimal,เวลาที่สั่งเตรียมเลือด/ขอจองเลือด,,
BDVST,an,varchar,type/Text,เลจประจำตัวผู้ป่วยใน,,
BDVST,fn,numeric,type/Decimal,เลขผู้ป่วยนอกตาม clinic ตามวัน,,
BDVST,vn,numeric,type/Decimal,เลขที่ Visit ของผู้ป่วย,,
BDVST,age,numeric,type/Decimal,อายุของผู้ป่วย,,
BDVST,reqno,numeric,type/Decimal,เลขที่ Request No,,
BDVST,reqdate,timestamp,type/DateTime,วันที่ขอตรวจ,,
BDVST,reqtime,numeric,type/Decimal,เวลาที่ขอตรวจ,,
BDVST,reqtype,varchar,type/Text,"(P=ผู้ป่วยขอ,H=โรงพยาบาลอื่นขอ)",,
BDVST,bdvstst,numeric,type/Decimal,สถานะการสั่งเตรียมเลือด,,
BDVST,reqnoref,numeric,type/Decimal,อ้างอิงเลขที่สั่งเตรียมเลขเดิม,,
BDVST,bdbranch,numeric,type/Decimal,รหัสโรงพยาบาล,,
BDVST,dct,numeric,type/Decimal,แพทย์ผู้ลงผล,,
BDVST,drawnstf,numeric,type/Decimal,พยาบาลผู้เจาะเลือด,,
BDVST,nurse,numeric,type/Decimal,พยาบาลผู้รับคำสั่ง,,
BDVST,drawndate,timestamp,type/DateTime,วันที่เจาะเก็บเลือด,,
BDVST,drawntime,numeric,type/Decimal,เวลาที่เจาะเก็บเลือด,,
BDVST,bdspcm,numeric,type/Decimal,รหัสสิ่งส่งตรวจ,,
BDVST,bdlct,numeric,type/Decimal,รหัสสถานที่ตั้งระบบงาน,,
BDVST,bdrfrlct,numeric,type/Decimal,หน่วยงานที่ขอตรวจ,,
BDVST,bduselct,numeric,type/Decimal,หน่วยงานที่ใช้เลือด,,
BDVST,icd10,varchar,type/Text,รหัสโรค (Diagnosis),,
BDVST,diagseq,numeric,type/Decimal,ลำดับที่ของข้อมูลโรค,,
BDVST,diagnosis,varchar,type/Text,รายละเอียดชื่อโรค,,
BDVST,bloodgrp,varchar,type/Text,หมู่เลือด ABO,,
BDVST,rh,varchar,type/Text,หมู่เลือด Rh,,
BDVST,abospec,varchar,type/Text,หมู่เลือดระบบอื่น,,
BDVST,antibody,varchar,type/Text,ผล Antibody,,
BDVST,dat,varchar,type/Text,ผล DAT,,
BDVST,bdhisflag,numeric,type/Decimal,"ประวัติการได้รับเลือดในอดีต(0=ไม่เคย,1=เคย)",,
BDVST,bdhisdate,timestamp,type/DateTime,วันที่ได้รับครั้งล่าสุด,,
BDVST,pregflag,numeric,type/Decimal,"ประวัติการตั้งครรภ์ในอดีต(1=ไม่เคย,2=เคย)",,
BDVST,birthhisdate,timestamp,type/DateTime,วันที่คลอดบุตรคนสุดท้าย,,
BDVST,specflag,numeric,type/Decimal,(1=ส่ง specimen ไปให้ตรวจแล้ว),,
BDVST,xmresult,numeric,type/Decimal,(1=มีการตรวจ Plasma Exchange),,
BDVST,rcvdate,timestamp,type/DateTime,วันที่รับเข้า,,
BDVST,rcvtime,numeric,type/Decimal,เวลาที่รับเข้า,,
BDVST,rcvstf,numeric,type/Decimal,ผู้รับเข้า,,
BDVST,pttype,numeric,type/Decimal,รหัสประเภทสิทธิ,,
BDVST,patienttype,numeric,type/Decimal,รหัสประเภทผู้ป่วย,,
BDVST,crdtorg,numeric,type/Decimal,รหัสหน่วยงานต้นสังกัด,,
BDVST,prev_bloodgrp,varchar,type/Text,หมู่เลือด ABO ครั้งก่อน,,
BDVST,prev_rh,varchar,type/Text,หมู่เลือด Rh ครั้้งก่อน,,
BDVST,prev_abospec,varchar,type/Text,หมู่เลือดระบบอื่นครั้งก่อน,,
BDVST,dctreq,numeric,type/Decimal,แพทย์ผู้สั่งเตรียม,,
BDVST,hivflag,numeric,type/Decimal,"(1=เลือดติดเชื้อ,2=ปกติ) ",,
BDVST,outflag,numeric,type/Decimal,"(1=รับใบขอเลือดในเวลา,2=รับใบขอเลือดนอกเวลา)",,
BDVST,abscreen,varchar,type/Text,"ผล ICT - ""n""-Negative, ""p""-Positive",,
BDVST,pickdate,timestamp,type/DateTime,วันที่ให้มารับเลือดได้,,
BDVST,picktime,numeric,type/Decimal,เวลาที่มารับเลือดได้,,
BDVST,ymdflag,varchar,type/Text,"(y=ปี,m=เดือน,d=วัน)",,
BDVST,reqflag,numeric,type/Decimal,(1=สั่งเตรียมนอกเวลา),,
BDVST,antidate,timestamp,type/DateTime,วันที่บันทึก Antibody,,
BDVST,antitime,numeric,type/Decimal,เวลาที่บันทึก Antibody,,
BDVST,antistf,numeric,type/Decimal,ผุ้บันทึก Antibody,,
BDVST,specificity,varchar,type/Text,ผล Speificity,,
BDVST,specifidate,timestamp,type/DateTime,วันที่บันทึก Speificity,,
BDVST,specifitime,numeric,type/Decimal,เวลาที่บันทึก Speificity,,
BDVST,specifistf,numeric,type/Decimal,ผู้บันทึก Speificity,,
BDVST,personflag,numeric,type/Decimal,"ตัวบ่งชี้ระบุบุคคลที่รับบริจาค(1=ระบุ,0 หรือ null ไม่ระบุ)",,
BDVST,referflag,numeric,type/Decimal,(1 = xmatch กับเลือดแม่/พ่อ),,
BDVST,labnoref,numeric,type/Decimal,อ้างอิงเลขเบอร์ Lab,,
BDVST,rhresult,varchar,type/Text,ผลตรวจ Rh,,
BDVST,pltantibody,varchar,type/Text,ผล PLT Antibody,,
BDVST,drawnname,varchar,type/Text,ชื่อผู้เจาะเก็บเลือด,,
BDVST,pltdate,timestamp,type/DateTime,วันที่ลงผล PLT,,
BDVST,plttime,numeric,type/Decimal,เวลาที่ลงผล PLT,,
BDVST,pltstf,numeric,type/Decimal,รหัสผู้ลงผล PLT,,
BDVST,carryflag,numeric,type/Decimal,"ประเภทผู้ส่ง(1=เจ้าหน้าที่,2=ผู้ป่วย,3=อื่นๆ)",,
BDVST,newiden,numeric,type/Decimal,1= แสดงผู้ป่วยใหม่,,
BDVST,docflag,numeric,type/Decimal,"(1=สั่งจากห้องแพทย์,2=หน้าห้องตรวจ,3=ward หรือการเงิน,null = ห้องแพทย์ระบบ HIS ใหม่)",,
BDVST,aviflag,numeric,type/Decimal,"เก่า  : (1=ส่งจาก AI-LIS,2=Gel test,3=Tube test) ใหม่ ปี 2561: ( 1= คิดเงินส่วนเกินสิทธิ   :  0 = ไม่คิดส่วนเกิดนสิทธิ)",,
BDVST,avistf,numeric,type/Decimal,"เก่า  : รหัสผู้ทำ AVI  ,  ใหม่ ปี 2561: ผู้บันทึกยืนยันคิดเงินส่วนเกินสิทธิ",,
BDVST,avino,varchar,type/Text,รหัสเครื่อง AVI,,
BDVST,cmmtreq,varchar,type/Text,หมายเหตุ,,
BDVST,newcase,numeric,type/Decimal,1= รับเลือดครั้งแรก,,
BDVST,lastanti,varchar,type/Text,Antibody ล่าสุดจากหน้า เตรียมเลือดมีปัญหา,,
BDVST,tubeflag,numeric,type/Decimal,1=ครั้งนี้มีการรับ Tub Sample เลือด,,
BDVST,tubecnfmstf,numeric,type/Decimal,รหัสเจ้าหน้าที่ผู้ยืนยันที่จะตาม Tube เลือดเพื่อใช้ confirm,,
BDVST,tubecnfmflag,numeric,type/Decimal,1=ใช้ request นี้เป็น Tube สำหรับ Confirm,,
BDVST,aborefno,numeric,type/Decimal,เลข BB อ้างอิงผล ABO ก่อนหน้าตอน Crossmatch,,
BDVST,aborefrst,varchar,type/Text,ผล ABO ก่อนหน้าตอน Crossmatch,,
BDVST,rhrefno,numeric,type/Decimal,เลข BB อ้างอิงผล Rh ก่อนหน้าตอน Crossmatch,,
BDVST,rhrefrst,varchar,type/Text,ผล Rh ก่อนหน้าตอน Crossmatch,,
BDVST,sampleflag,numeric,type/Decimal,สถานะว่าต้นทางเจาะ  ใช้ Sample เดิม,,
BDVST,commsg,varchar,type/Text,ข้อความที่ต้องการสื่อสารกับหน่วยงานขอเตรียมเลือด,,
BDVST,seedoctorflag,numeric,type/Decimal,"1= มีนัดให้เลือด+ พบแพทย์, 2= มีนัดให้เลือดอย่างเดียว",,
BDVST,weight,varchar,type/Text,น้ำหนักของผู้ป่วย,,
BDVST,electronicflag,numeric,type/Decimal,1 =  เป็นเคสที่มีการทำ Electronic Crossmatch,,
BOOKST,bookst,numeric,type/Decimal,รหัสการจองห้อง,,
BOOKST,name,varchar,type/Text,ชื่อสถานะการจอง,,
BOOKST,var,varchar,type/Text,คำอ้างอิง,,
CHANGWAT,changwat,numeric,type/Decimal,รหัสจังหวัด,,
CHANGWAT,name,varchar,type/Text,ชื่อจังหวัด,,
CHANGWAT,name_en,varchar,type/Text,ชื่อจังหวัด(อังกฤษ),,
CLAIMLCT,claimlct,numeric,type/Decimal,,,
CLAIMLCT,claimtype,numeric,type/Decimal,ประเภทต้นสังกัด,,
CLAIMLCT,claimgov,numeric,type/Decimal,หน่วยงานต้นสังกัดระดับกรม,,
CLAIMLCT,claimtitle,numeric,type/Decimal,คำนำหน้าชื่อหน่ยงานต้นสังกัด,,
CLAIMLCT,name,varchar,type/Text,ชื่อ,,
CLAIMLCT,name_en,varchar,type/Text,ชื่อภาษาอังกฤษ,,
CLAIMLCT,address,varchar,type/Text,ที่อยู่,,
CLAIMLCT,changwat,numeric,type/Decimal,รหัสจังหวัด,,
CLAIMLCT,zipcode,numeric,type/Decimal,รหัสไปรษณีย์,,
CLAIMLCT,contractdesc,varchar,type/Text,เงือนไขการเบิกต้นสังกัด,,
CLAIMLCT,var,varchar,type/Text,ตัวเช็ค,,
CLAIMLCT,hcode,varchar,type/Text,,,
CLAIMLCT,grppttype,numeric,type/Decimal,,,
CLAIMLCT,govtype,numeric,type/Decimal,,,
CLAIMLCT,dspname,varchar,type/Text,ชื่อที่แสดง,,
CLAIMLCT,hpt,numeric,type/Decimal,รหัสโรงพยาบาล,,
CLINICLCT,cliniclct,numeric,type/Decimal,,,
CLINICLCT,prefix,varchar,type/Text,,,
CLINICLCT,name,varchar,type/Text,,,
CLINICLCT,dspname,varchar,type/Text,,,
CLINICLCT,abbrname,varchar,type/Text,,,
CLINICLCT,name_en,varchar,type/Text,,,
CLINICLCT,dspname_en,varchar,type/Text,,,
CLINICLCT,abbrname_en,varchar,type/Text,,,
CLINICLCT,period,numeric,type/Decimal,,,
CLINICLCT,clinicgrp,numeric,type/Decimal,,,
CLINICLCT,clinicgrpname,varchar,type/Text,,,
CLINICLCT,roomlct,numeric,type/Decimal,,,
CLINICLCT,roomname,varchar,type/Text,,,
CLINICLCT,clinictype,numeric,type/Decimal,,,
CLINICLCT,clinictypename,varchar,type/Text,,,
CLINICLCT,prftype,numeric,type/Decimal,,,
CLINICLCT,prftypename,varchar,type/Text,,,
CLINICLCT,clinicmain,numeric,type/Decimal,,,
CLINICLCT,clinicmainname,varchar,type/Text,,,
CLINICLCT,building,numeric,type/Decimal,,,
CLINICLCT,buildingname,varchar,type/Text,,,
CLINICLCT,floor,numeric,type/Decimal,,,
CLINICLCT,subdeptlct,numeric,type/Decimal,,,
CLINICLCT,subdeptname,varchar,type/Text,,,
CLINICLCT,deptlct,numeric,type/Decimal,,,
CLINICLCT,deptname,varchar,type/Text,,,
CLINICLCT,spclty,numeric,type/Decimal,,,
CLINICLCT,spcltyname,varchar,type/Text,,,
CLINICLCT,lctaddr,varchar,type/Text,,,
CLINICLCT,lctaddr_en,varchar,type/Text,,,
CLINICLCT,tel,varchar,type/Text,,,
CLINICLCT,hcode,varchar,type/Text,,,
CLINICTYPE,clinictype,numeric,type/Decimal,รหัสประเภทคลินิก,,
CLINICTYPE,name,varchar,type/Text,ชื่อประเภทคลินิก,,
CLINICTYPE,name_en,varchar,type/Text,ชื่อประเภทคลินิก (ภาษาอังกฤษ),,
CLINICTYPE,hcode,varchar,type/Text,รหัส รพ.,,
CLINICTYPE,var,varchar,type/Text,ตัวแปร,,
CNER,hn,varchar,type/Text,เลขที่ผู้ป่วยนอก,,
CNER,vstdate,timestamp,type/DateTime,วันที่ส่งตรวจ,,
CNER,vsttime,numeric,type/Decimal,เวลาส่งตรวจ,,
CNER,cliniclct,numeric,type/Decimal,รหัสคลินิก,,
