table_name,column_name,database_type,base_type,comment,is_pk,pk_confidence,pk_reason,is_fk,fk_targets,join_peers,join_dict,join_warning
ARPT,arstf,numeric,type/Decimal,รหัสผู้ปิดบัญชี,0,,,0,,,[],
ARPT,ardate,timestamp,type/DateTime,วันที่ปิดบัญชี,0,,,0,,,[],
ARPT,artime,numeric,type/Decimal,เวลาปิดบัญชี,0,,,0,,,[],
ARPT,vstdate,timestamp,type/DateTime,วันที่มารับบริการ,0,,,0,,,[],
ARPT,vsttime,numeric,type/Decimal,เวลาที่มารับบริการ,0,,,0,,,[],
ARPT,dchdate,timestamp,type/DateTime,วันที่ผู้ป่วยกลับบ้าน,0,,,0,,,[],
ARPT,dchtime,numeric,type/Decimal,เวลาที่ผู้ป่วยกลับบ้าน,0,,,0,,,[],
ARPT,startdate,timestamp,type/DateTime,วันที่เริ่มต้นเรียกเก็บเงิน,0,,,0,,,[],
ARPT,enddate,timestamp,type/DateTime,วันที่สิ้นสุดเรียกเก็บเงิน,0,,,0,,,[],
ARPT,ptday,numeric,type/Decimal,จำนวนวันนอน,0,,,0,,,[],
ARPT,chkstf,numeric,type/Decimal,รหัสผู้ตรวจสอบ,0,,,0,,,[],
ARPT,chkdate,timestamp,type/DateTime,วันที่ตรวจสอบข้อมูล,0,,,0,,,[],
ARPT,chktime,numeric,type/Decimal,เวลาที่ตรวจสอบข้อมูล,0,,,0,,,[],
ARPT,trnstf,numeric,type/Decimal,ผู้โอนข้อมูล,0,,,0,,,[],
ARPT,trndate,timestamp,type/DateTime,วันที่โอนข้อมูล,0,,,0,,,[],
ARPT,trntime,numeric,type/Decimal,เวลาที่โอนข้อมูล,0,,,0,,,[],
ARPT,hc,numeric,type/Decimal,ค่าใช้จ่ายสูง (1=ค่าใช้จ่ายสูง),0,,,0,,,[],
ARPT,bkno,varchar,type/Text,เลขที่อ้างอ้างอิงการส่งเบิก,0,,,0,,,[],
ARPT,cpno,numeric,type/Decimal,สถานะการแก้ไขข้อมูลการส่งเบิก,0,,,0,,,[],
ARPT,opno,numeric,type/Decimal,จำนวนเงินแก้ไขข้อมูลการส่งเบิก,0,,,0,,,[],
ARPT,claimno,varchar,type/Text,เลขที่ขอเบิก (ไม่ได้ใช้),0,,,0,,,[],
ARPT,claimlct,numeric,type/Decimal,รหัสหน่วยงานเรียกเก็บเงิน,0,,,1,CLAIMLCT.claimlct(high:table match),CLAIMLCT.claimlct,"[{""dir"": ""out"", ""to_table"": ""CLAIMLCT"", ""to_column"": ""claimlct"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,claimcode,varchar,type/Text,เลขที่CLAIMCODE (ไม่ได้ใช้),0,,,0,,,[],
ARPT,mainhpt,numeric,type/Decimal,รหัสสถานพยาบาลหลัก (ไม่ได้ใช้),0,,,1,MAINHPT.mainhpt(high:table match),MAINHPT.mainhpt,"[{""dir"": ""out"", ""to_table"": ""MAINHPT"", ""to_column"": ""mainhpt"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,mainophpt,numeric,type/Decimal,รหัสสถานพยาบาลส่งตัว (ไม่ได้ใช้),0,,,0,,,[],
ARPT,supphpt,numeric,type/Decimal,รหัสสถานพยาบาลรอง (ไม่ได้ใช้),0,,,0,,,[],
ARPT,changwat,numeric,type/Decimal,จังหวัด (ไม่ได้ใช้),0,,,1,CHANGWAT.changwat(high:table match),CHANGWAT.changwat,"[{""dir"": ""out"", ""to_table"": ""CHANGWAT"", ""to_column"": ""changwat"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,acer,numeric,type/Decimal,สถานะอุบัติเหตุ (ไม่ได้ใช้),0,,,0,,,[],
ARPT,refno,varchar,type/Text,รหัสชุดการเบิกผู้ป่วยห้องไตเทียม,0,,,0,,,[],
ARPT,refer,numeric,type/Decimal,สถานะการREFER (ไม่ได้ใช้),0,,,0,,,[],
ARPT,referhpt,numeric,type/Decimal,โรงพยาบาลที่REFER (ไม่ได้ใช้),0,,,0,,,[],
ARPT,refissdate,timestamp,type/DateTime,วันที่เริ่มใช้สิทธิ์ (ไม่ได้ใช้),0,,,0,,,[],
ARPT,refexpdate,timestamp,type/DateTime,วันที่หมดอายุสิทธิ์ (ไม่ได้ใช้),0,,,0,,,[],
ARPT,sheetno,varchar,type/Text,เลขที่เอกสารเงินงบประมาณ,0,,,0,,,[],
ARPT,sheetdate,timestamp,type/DateTime,วันที่เลขที่เอกสาร (ไม่ได้ใช้),0,,,0,,,[],
ARPT,arpterr,varchar,type/Text,รหัสแสดงข้อผิดผลาด,0,,,0,,,[],
ARPT,prbtype,numeric,type/Decimal,รหัสการส่งข้อมูล CSCD ซ้ำ,0,,,0,,,[],
ARPT,arst,numeric,type/Decimal,สถานะการเรียกเก็บ,0,,,0,,,[],
ARPT,dchst,numeric,type/Decimal,ประเภทการจำหน่าย,0,,,1,DCHST.dchst(high:table match),DCHST.dchst,"[{""dir"": ""out"", ""to_table"": ""DCHST"", ""to_column"": ""dchst"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,dchtype,numeric,type/Decimal,สถานะการจำหน่าย,0,,,1,DCHTYPE.dchtype(high:table match),DCHTYPE.dchtype,"[{""dir"": ""out"", ""to_table"": ""DCHTYPE"", ""to_column"": ""dchtype"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,cancelres,numeric,type/Decimal,รหัสการยกเลิกข้อมูล,0,,,0,,,[],
ARPT,arrearno,numeric,type/Decimal,เลขที่ค้างชำระ,0,,,0,,,[],
ARPT,arrearst,numeric,type/Decimal,สถานะค้างชำระ,0,,,0,,,[],
ARPT,sarno,numeric,type/Decimal,เลขที่ปิดแจ้งหนี้เดิม,0,,,0,,,[],
ARPT,arbdgyear,numeric,type/Decimal,ปีงบประมาณที่ตั้งลูกหนี้,0,,,0,,,[],
ARPT,armonth,numeric,type/Decimal,เดือนที่ตั้งลูกหนี้,0,,,0,,,[],
ARPT,spcflag,numeric,type/Decimal,สถานะคลีนิคพิเศษ,0,,,0,,,[],
ARPT,accno,numeric,type/Decimal,เลขที่รับไปลงบัญชี,0,,,0,,,[],
ARPT,accstf,numeric,type/Decimal,เจ้าหน้าที่ี่รับไปลงบัญชี,0,,,0,,,[],
ARPT,accdate,timestamp,type/DateTime,วันที่ที่ี่รับไปลงบัญชี,0,,,0,,,[],
ARPT,nopaid,numeric,type/Decimal,สถานะไม่ได้เรียกเก็บเป็นเงิน,0,,,0,,,[],
ARPT,obsno,numeric,type/Decimal,Observation Number,0,,,0,,,[],
ARPT,devno,numeric,type/Decimal,เลขที่อ้างอิงลดหนี้/เพิ่มหนี้,0,,,0,,,[],
ARPT,devst,numeric,type/Decimal,สถานะ 1 เพิ่มหนี้ 2 ลดหนี้,0,,,0,,,[],
ARPT,cscdaprvno,varchar,type/Text,เลขที่อนุมัติ,0,,,0,,,[],
ARPT,drgamt,numeric,type/Decimal,ค่ารักษาตาม DRG,0,,,0,,,[],
ARPT,accdrgno,numeric,type/Decimal,เลขที่รับไปลงบัญชีี่ ส่วนขาด DRG ,0,,,0,,,[],
ARPT,accdrgstf,numeric,type/Decimal,เจ้าหน้าที่รับไปลงบัญชี ี่ส่วนขาด DRG ,0,,,0,,,[],
ARPT,accdrgdate,timestamp,type/DateTime,วันที่ที่ี่รับไปลงบัญชี ส่วนขาด DRG ,0,,,0,,,[],
ARPT,covst,numeric,type/Decimal,สถานะผู้ป่วย COVID,0,,,0,,,[],
ARPT,leaveday,numeric,type/Decimal,วันลากลับบ้าน,0,,,0,,,[],
ARPT,drgclaim,numeric,type/Decimal,จำนวนเงิน Claimcate D,0,,,0,,,[],
ARPT,xdrgclaim,numeric,type/Decimal,จำนวนเงิน Claimcate T,0,,,0,,,[],
ARPT,discount,numeric,type/Decimal,ส่วนลด,0,,,0,,,[],
ARPT,cancelst,numeric,type/Decimal,สถานะการลบข้อมูล 0:ใช้งาน; 1:ยกเลิก,0,,,0,,,[],
ARPT,invsumno,numeric,type/Decimal,เลขที่ปิดบัญชีลูกหนี้,0,,,0,,,[],
ARPT,invsumstf,numeric,type/Decimal,เจ้าหน้าที่รับไปลงบัญชีลูกหนี้,0,,,0,,,[],
ARPT,invsumdate,timestamp,type/DateTime,วันที่ลงบัญชีลูกหนี้,0,,,0,,,[],
ARPTINC,arno,numeric,type/Decimal,เลขที่ผู้ป่วยนอก,0,,,1,ARPT.arno(medium:ARPT),ARPT.arno,"[{""dir"": ""out"", ""to_table"": ""ARPT"", ""to_column"": ""arno"", ""confidence"": ""medium"", ""type"": ""ARPT"", ""source"": ""relationships.md""}]",
ARPTINC,actlct,numeric,type/Decimal,รหัสศุนย์ทุน,0,,,0,,,[],
ARPTINC,incgrp,numeric,type/Decimal,กลุ่มค่ารักษา,0,,,1,INCGRP.incgrp(high:table match),INCGRP.incgrp,"[{""dir"": ""out"", ""to_table"": ""INCGRP"", ""to_column"": ""incgrp"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPTINC,ordercode,numeric,type/Decimal,รหัสรายการค่ารักษา,0,,,0,,,[],
ARPTINC,income,varchar,type/Text,รหัสค่ารักษา,0,,,0,,,[],
ARPTINC,incamt,numeric,type/Decimal,จำนวนเงินทั้งหมด,0,,,0,,,[],
ARPTINC,rfndamt,numeric,type/Decimal,จำนวนเงินเบิกได้,0,,,0,,,[],
ARPTINC,unrfndamt,numeric,type/Decimal,จำนวนเงินเบิกไม่ได้,0,,,0,,,[],
ARPTINC,waiveamt,numeric,type/Decimal,จำนวนเงินยกเว้น,0,,,0,,,[],
ARPTINC,dscamt,numeric,type/Decimal,จำนวนเงินลดหย่อน,0,,,0,,,[],
ARPTINC,rcptamt,numeric,type/Decimal,จำนวนเงินรับจริง,0,,,0,,,[],
ARPTINC,invamt,numeric,type/Decimal,จำนวนเงินเรียกเก็บ,0,,,0,,,[],
ARPTINC,stamt,numeric,type/Decimal,จำนวนเงินส่วนลดเงินเชื่อ,0,,,0,,,[],
ARPTINC,crdamt,numeric,type/Decimal,จำนวนเงินสวัสดิการ,0,,,0,,,[],
ARPTINC,cutactamt,numeric,type/Decimal,จำนวนเงินรับชำระ,0,,,0,,,[],
ARPTINC,salerate,numeric,type/Decimal,ราคาขาย,0,,,0,,,[],
ARPTINC,qty,numeric,type/Decimal,จำนวน,0,,,0,,,[],
ARPTINC,dscp,varchar,type/Text,หมายเหตุ,0,,,0,,,[],
ARPTINC,prfordercode,numeric,type/Decimal,รหัสอ้างอิงรายการค่ารักษา,0,,,0,,,[],
ARPTINC,arincst,numeric,type/Decimal,สถานะการแสดงข้อมูล,0,,,0,,,[],
ARPTINC,drgamt,numeric,type/Decimal,ค่ารักษาตาม DRG,0,,,0,,,[],
BDVST,hn,varchar,type/Text,รหัสประจำตัวผู้ป่วย,1,medium,target_of_within_family,1,PT.hn(high:universal),BDVSTCSMT.hn; BDVSTTRANS.hn; BDVST_ABO.hn; PT.hn,"[{""dir"": ""out"", ""to_table"": ""PT"", ""to_column"": ""hn"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}, {""dir"": ""in"", ""from_table"": ""BDVSTCSMT"", ""from_column"": ""hn"", ""confidence"": ""medium"", ""type"": ""BDVST"", ""source"": ""relationships.md""}, {""dir"": ""in"", ""from_table"": ""BDVSTTRANS"", ""from_column"": ""hn"", ""confidence"": ""medium"", ""type"": ""BDVST"", ""source"": ""relationships.md""}, {""dir"": ""in"", ""from_table"": ""BDVST_ABO"", ""from_column"": ""hn"", ""confidence"": ""medium"", ""type"": ""BDVST"", ""source"": ""relationships.md""}]",
BDVST,bdvstdate,timestamp,type/DateTime,วันที่สั่งเตรียมเลือด/ขอจองเลือด,0,,,0,,,[],
BDVST,bdvsttime,numeric,type/Decimal,เวลาที่สั่งเตรียมเลือด/ขอจองเลือด,0,,,0,,,[],
BDVST,an,varchar,type/Text,เลจประจำตัวผู้ป่วยใน,0,,,1,IPT.an(high:universal),IPT.an,"[{""dir"": ""out"", ""to_table"": ""IPT"", ""to_column"": ""an"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}]",
BDVST,fn,numeric,type/Decimal,เลขผู้ป่วยนอกตาม clinic ตามวัน,0,,,0,,,[],
BDVST,vn,numeric,type/Decimal,เลขที่ Visit ของผู้ป่วย,0,,,1,IPT.vn(high:universal); OVST.vn(heuristic:heuristic_home),IPT.vn; OVST.vn,"[{""dir"": ""out"", ""to_table"": ""IPT"", ""to_column"": ""vn"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}, {""dir"": ""out"", ""to_table"": ""OVST"", ""to_column"": ""vn"", ""confidence"": ""heuristic"", ""type"": ""heuristic_home"", ""source"": ""heuristic""}]",
BDVST,age,numeric,type/Decimal,อายุของผู้ป่วย,0,,,0,,,[],
BDVST,reqno,numeric,type/Decimal,เลขที่ Request No,1,medium,target_of_within_family,0,,BDVSTDT.reqno,"[{""dir"": ""in"", ""from_table"": ""BDVSTDT"", ""from_column"": ""reqno"", ""confidence"": ""medium"", ""type"": ""BDVST"", ""source"": ""relationships.md""}]",
BDVST,reqdate,timestamp,type/DateTime,วันที่ขอตรวจ,0,,,0,,,[],
BDVST,reqtime,numeric,type/Decimal,เวลาที่ขอตรวจ,0,,,0,,,[],
BDVST,reqtype,varchar,type/Text,"(P=ผู้ป่วยขอ,H=โรงพยาบาลอื่นขอ)",0,,,0,,,[],
BDVST,bdvstst,numeric,type/Decimal,สถานะการสั่งเตรียมเลือด,0,,,1,BDVSTST.bdvstst(high:table match),BDVSTST.bdvstst,"[{""dir"": ""out"", ""to_table"": ""BDVSTST"", ""to_column"": ""bdvstst"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
BDVST,reqnoref,numeric,type/Decimal,อ้างอิงเลขที่สั่งเตรียมเลขเดิม,0,,,0,,,[],
BDVST,bdbranch,numeric,type/Decimal,รหัสโรงพยาบาล,0,,,1,BDBRANCH.bdbranch(high:table match),BDBRANCH.bdbranch,"[{""dir"": ""out"", ""to_table"": ""BDBRANCH"", ""to_column"": ""bdbranch"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
BDVST,dct,numeric,type/Decimal,แพทย์ผู้ลงผล,0,,,1,DCT.dct(high:table match),DCT.dct,"[{""dir"": ""out"", ""to_table"": ""DCT"", ""to_column"": ""dct"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
BDVST,drawnstf,numeric,type/Decimal,พยาบาลผู้เจาะเลือด,0,,,0,,,[],
BDVST,nurse,numeric,type/Decimal,พยาบาลผู้รับคำสั่ง,0,,,0,,,[],
BDVST,drawndate,timestamp,type/DateTime,วันที่เจาะเก็บเลือด,0,,,0,,,[],
BDVST,drawntime,numeric,type/Decimal,เวลาที่เจาะเก็บเลือด,0,,,0,,,[],
BDVST,bdspcm,numeric,type/Decimal,รหัสสิ่งส่งตรวจ,0,,,0,,,[],
BDVST,bdlct,numeric,type/Decimal,รหัสสถานที่ตั้งระบบงาน,0,,,0,,,[],
BDVST,bdrfrlct,numeric,type/Decimal,หน่วยงานที่ขอตรวจ,0,,,0,,,[],
BDVST,bduselct,numeric,type/Decimal,หน่วยงานที่ใช้เลือด,0,,,0,,,[],
